year,sex,age,value
2031,both,56,485.3
2031,both,57,470.4
2031,both,58,466.8
2031,both,59,469
2031,both,60,484.7
2031,both,61,478
2031,both,62,471.4
2031,both,63,464.6
2031,both,64,465.7
2031,both,65,485.8
2031,both,66,513.2
2031,both,67,523.1
2031,both,68,522.1
2031,both,69,507.1
2031,both,70,507.5
2031,both,71,492.9
2031,both,72,475.9
2031,both,73,463.4
2031,both,74,445.4
2031,both,75,424.8
2031,both,76,411.2
2031,both,77,385.9
2031,both,78,359.2
2031,both,79,336
2031,both,80,319.2
2031,both,81,301.3
2031,both,82,283.4
2031,both,83,270
2031,both,84,254.8
2031,both,85,206.5
2031,both,86,178.8
2031,both,87,160
2031,both,88,140
2031,both,89,117.3
2031,both,90,99.4
2031,both,91,81.1
2031,both,92,66.5
2031,both,93,53.2
2031,both,94,41.4
2031,both,95,32.4
2031,both,96,24.3
2031,both,97,17.7
2031,both,98,13
2031,both,99,9.2
2031,both,100,16.2
2032,both,40,567
2032,both,41,570.9
2032,both,42,570.6
2032,both,43,554.2
2032,both,44,541.1
2032,both,45,542.2
2032,both,46,549
2032,both,47,550.1
2032,both,48,546.2
2032,both,49,542.6
2032,both,50,536.7
2032,both,51,536.5
2032,both,52,525.6
2032,both,53,510.6
2032,both,54,498.9
2032,both,55,493.7
2032,both,56,489.3
2032,both,57,484.2
2032,both,58,469.4
2032,both,59,465.6
2032,both,60,467.6
2032,both,61,483.2
2032,both,62,476.3
2032,both,63,469.6
2032,both,64,462.5
2032,both,65,463.3
2032,both,66,483
2032,both,67,509.6
2032,both,68,519.1
2032,both,69,517.7
2032,both,70,502.4
2032,both,71,502.2
2032,both,72,487.2
2032,both,73,469.7
2032,both,74,456.7
2032,both,75,438.1
2032,both,76,417
2032,both,77,402.6
2032,both,78,377
2032,both,79,349.8
2032,both,80,326
2032,both,81,308.5
2032,both,82,289.8
2032,both,83,271.1
2032,both,84,256.7
2032,both,85,240.4
2032,both,86,193.2
2032,both,87,165.6
2032,both,88,146.4
2032,both,89,126.3
2032,both,90,104
2032,both,91,86.5
2032,both,92,69.3
2032,both,93,55.6
2032,both,94,43.4
2032,both,95,33
2032,both,96,25.1
2032,both,97,18.4
2032,both,98,13
2032,both,99,9.2
2032,both,100,16.6
2033,both,40,566
2033,both,41,570.3
2033,both,42,573.6
2033,both,43,573
2033,both,44,556.1
2033,both,45,543.1
2033,both,46,543.5
2033,both,47,550.6
2033,both,48,551.2
