year,sex,age,value
2028,both,72,3490910
2028,both,73,3375317
2028,both,74,3219943
2028,both,75,3047387
2028,both,76,2893668
2028,both,77,2712799
2028,both,78,2542810
2028,both,79,2424960
2028,both,80,2316287
2028,both,81,2372073
2028,both,82,1631763
2028,both,83,1510028
2028,both,84,1408840
2028,both,85,1357479
2028,both,86,1105190
2028,both,87,938350
2028,both,88,808580
2028,both,89,702304
2028,both,90,610121
2028,both,91,502820
2028,both,92,424792
2028,both,93,361983
2028,both,94,281070
2028,both,95,229972
2028,both,96,182078
2028,both,97,140846
2028,both,98,106154
2028,both,99,75513
2028,both,100,122710
2029,both,40,4666770
2029,both,41,4567890
2029,both,42,4500700
2029,both,43,4493706
2029,both,44,4478856
2029,both,45,4375563
2029,both,46,4427836
2029,both,47,4410618
2029,both,48,4338519
2029,both,49,4307171
2029,both,50,4120888
2029,both,51,4015884
2029,both,52,3952459
2029,both,53,3807560
2029,both,54,3839420
2029,both,55,3757699
2029,both,56,3796105
2029,both,57,3966445
2029,both,58,4187530
2029,both,59,4111254
2029,both,60,3945342
2029,both,61,3845885
2029,both,62,3841382
2029,both,63,3875963
2029,both,64,4000889
2029,both,65,4068807
2029,both,66,4043823
2029,both,67,4030391
2029,both,68,3992961
2029,both,69,3892422
2029,both,70,3787340
2029,both,71,3721319
2029,both,72,3618335
2029,both,73,3420171
2029,both,74,3300229
2029,both,75,3141338
2029,both,76,2965566
2029,both,77,2807965
2029,both,78,2623815
2029,both,79,2450250
2029,both,80,2326467
2029,both,81,2210743
2029,both,82,2250474
2029,both,83,1538656
2029,both,84,1413719
2029,both,85,1308918
2029,both,86,1251075
2029,both,87,1009793
2029,both,88,849148
2029,both,89,724011
2029,both,90,621517
2029,both,91,533113
2029,both,92,433302
2029,both,93,360561
2029,both,94,302291
2029,both,95,230580
2029,both,96,185063
2029,both,97,143523
2029,both,98,108604
2029,both,99,79956
2029,both,100,127742
2030,both,40,4819276
2030,both,41,4667395
2030,both,42,4567668
2030,both,43,4499865
2030,both,44,4492059
2030,both,45,4475909
2030,both,46,4371010
2030,both,47,4420612
2030,both,48,4400818
2030,both,49,4326689
2030,both,50,4293347
2030,both,51,4106670
2030,both,52,4001131
2030,both,53,3937189
2030,both,54,3792238
